FighterId,Fighter Name,age,FirstName,LastName,Nickname,WeightClass,BirthDate,Height,Weight,Reach,Wins,Losses,Draws,NoContests,TechnicalKnockouts,TechnicalKnockoutLosses,Submissions,SubmissionLosses,TitleWins,TitleLosses,TitleDraws,CareerStats.SigStrikesLandedPerMinute,CareerStats.SigStrikeAccuracy,CareerStats.TakedownAverage,CareerStats.SubmissionAverage,CareerStats.KnockoutPercentage,CareerStats.TechnicalKnockoutPercentage,CareerStats.DecisionPercentage
140000063,Dong Hyun Ma,32.0,Dong Hyun,Ma,Maestro,Lightweight,1988-09-09,71.0,155.0,70.5,16.0,11.0,3.0,0.0,11.0,10.0,12.0,5.0,0.0,0.0,0.0,6.8,64.0,3.0,0.0,7.9,7.9,10.3
140000064,Devonte Smith,28.0,Devonte,Smith,King Kage,Lightweight,1993-07-30,69.0,160.0,76.0,11.0,2.0,0.0,0.0,15.0,5.0,2.0,0.0,0.0,0.0,0.0,13.4,85.0,1.8,1.8,23.7,23.7,0.0
140000065,Sam Alvey,35.0,Sam,Alvey,Smile'N,Light Heavyweight,1986-05-06,74.0,185.0,75.5,33.0,15.0,1.0,1.0,29.0,7.0,7.0,5.0,5.0,2.0,0.0,7.6,77.7,0.2,0.2,15.4,15.4,12.4
140000071,Lando Vannata,29.0,Lando,Vannata,Groovy,Lightweight,1992-03-14,69.0,146.0,71.0,12.0,5.0,2.0,0.0,10.0,0.0,12.0,2.0,0.0,0.0,0.0,11.1,73.3,2.7,0.8,12.5,12.5,16.3
140000072,Marcos Mariano,34.0,Marcos,Mariano,Dhalsim,Lightweight,1986-09-30,73.0,155.0,76.0,6.0,6.0,0.0,0.0,5.0,2.0,2.0,7.0,0.0,0.0,0.0,0.6,42.9,0.0,0.0,0.0,0.0,0.0
140000073,Anderson Silva,46.0,Anderson,Silva,The Spider,Middleweight,1975-04-14,74.0,185.0,77.0,34.0,11.0,0.0,1.0,34.0,10.0,10.0,5.0,17.0,5.0,0.0,7.3,95.0,1.2,1.9,63.8,63.8,26.9
140000074,Israel Adesanya,32.0,Israel,Adesanya,The Last Stylebender,Middleweight,1989-07-22,76.0,185.0,80.0,21.0,1.0,0.0,0.0,23.0,0.0,0.0,0.0,12.0,2.0,0.0,9.4,82.1,0.0,0.6,28.1,28.1,42.1
140000077,Renan Barao,34.0,Renan,Barao,The Baron,Featherweight,1987-01-31,66.0,145.0,70.0,34.0,9.0,0.0,1.0,12.0,7.0,23.0,0.0,10.0,5.0,0.0,9.0,67.7,3.6,1.3,10.8,10.8,14.0
140000078,Luke Sanders,35.0,Luke,Sanders,Cool Hand,Bantamweight,1985-12-12,66.0,145.0,67.0,13.0,5.0,0.0,0.0,11.0,2.0,5.0,7.0,5.0,0.0,0.0,10.2,86.9,1.7,0.6,17.2,17.2,13.3
140000079,Nik Lentz,37.0,Nik,Lentz,The Carny,Featherweight,1984-08-13,68.0,150.0,68.0,30.0,12.0,2.0,1.0,17.0,7.0,12.0,5.0,0.0,0.0,0.0,8.2,92.9,7.9,3.0,10.3,10.3,30.9
140000080,Scott Holtzman,37.0,Scott,Holtzman,Hot Sauce,Lightweight,1983-09-30,69.0,155.0,69.0,14.0,5.0,0.0,0.0,12.0,5.0,5.0,0.0,5.0,0.0,0.0,10.3,91.1,4.9,0.5,12.5,12.5,32.5
140000083,Manny Bermudez,27.0,Manny,Bermudez,The Bermudez Triangle,Bantamweight,1994-07-16,70.0,145.0,71.5,14.0,2.0,0.0,0.0,2.0,0.0,17.0,2.0,0.0,0.0,0.0,7.0,108.6,7.3,7.3,0.0,0.0,0.0
140000084,Benito Lopez,27.0,Benito,Lopez,Golden Boy,Bantamweight,1994-04-06,70.0,135.0,73.0,10.0,1.0,0.0,0.0,7.0,0.0,5.0,2.0,0.0,0.0,0.0,10.7,68.3,0.0,0.7,0.0,0.0,28.1
140000085,Jimmie Rivera,32.0,Jimmie,Rivera,El Terror,Featherweight,1989-06-29,64.0,135.0,68.5,23.0,5.0,0.0,0.0,10.0,2.0,5.0,0.0,5.0,0.0,0.0,9.6,67.3,2.1,0.3,8.5,8.5,33.1
140000086,Aljamain Sterling,32.0,Aljamain,Sterling,Funk Master,Bantamweight,1989-07-31,67.0,134.0,71.0,20.0,3.0,0.0,0.0,5.0,2.0,12.0,0.0,5.0,0.0,0.0,11.5,90.2,4.2,2.1,10.4,10.4,40.3
140000087,Myles Jury,32.0,Myles,Jury,Fury,Featherweight,1988-10-31,70.0,155.0,73.0,19.0,6.0,0.0,0.0,12.0,2.0,12.0,5.0,0.0,0.0,0.0,7.0,75.0,5.1,0.6,22.1,22.1,29.4
140000088,Andre Fili,31.0,Andre,Fili,Touchy,Featherweight,1990-06-25,71.0,145.0,74.0,21.0,8.0,0.0,1.0,14.0,5.0,7.0,5.0,0.0,0.0,0.0,9.1,63.8,6.0,0.4,15.4,15.4,30.9
140000089,Vicente Luque,29.0,Vicente,Luque,The Silent Assassin,Welterweight,1991-11-27,71.0,170.0,75.5,21.0,7.0,1.0,0.0,17.0,0.0,12.0,5.0,0.0,0.0,0.0,13.5,87.9,1.5,2.3,37.3,37.3,8.2
140000090,Bryan Barberena,32.0,Bryan,Barberena,Bam Bam,Welterweight,1989-05-03,72.0,170.0,72.5,15.0,8.0,0.0,0.0,15.0,5.0,5.0,2.0,0.0,0.0,0.0,12.5,93.7,0.5,1.0,20.1,20.1,13.4
140000091,Alex Caceres,33.0,Alex,Caceres,Bruce Leeroy,Featherweight,1988-06-20,70.0,145.0,73.0,18.0,12.0,0.0,1.0,7.0,2.0,14.0,11.0,0.0,0.0,0.0,9.8,84.4,1.4,1.9,0.0,0.0,44.8
140000095,James Vick,34.0,James,Vick,The Texecutioner,Welterweight,1987-02-23,75.0,170.0,76.0,13.0,6.0,0.0,0.0,7.0,12.0,12.0,0.0,0.0,0.0,0.0,9.8,67.6,0.6,1.6,17.2,17.2,34.3
140000096,Paul Felder,37.0,Paul,Felder,The Irish Dragon,Lightweight,1984-04-25,71.0,156.0,70.0,17.0,6.0,0.0,0.0,15.0,2.0,2.0,0.0,0.0,0.0,0.0,8.8,76.4,0.7,0.5,26.9,26.9,26.9
140000098,Francis Ngannou,34.0,Francis,Ngannou,The Predator,Heavyweight,1986-09-05,76.0,263.0,83.0,16.0,3.0,0.0,0.0,19.0,0.0,10.0,0.0,2.0,2.0,0.0,6.1,71.1,0.5,1.0,73.1,73.1,0.0
140000100,Joel Alvarez,27.0,Joel,Alvarez,El Fenomeno,Lightweight,1994-03-02,75.0,155.0,77.0,18.0,2.0,0.0,0.0,5.0,2.0,25.0,0.0,0.0,0.0,0.0,6.8,81.5,0.0,3.9,11.9,11.9,0.0
140000101,Rustam Khabilov,34.0,Rustam,Khabilov,Tiger,Welterweight,1986-11-04,68.0,155.0,73.0,24.0,4.0,0.0,0.0,10.0,0.0,12.0,2.0,0.0,0.0,0.0,4.7,71.0,9.4,0.2,8.5,8.5,44.1
140000103,Michel Prazeres,40.0,Michel,Prazeres,Tractor,Welterweight,1981-07-25,66.0,170.0,67.5,26.0,4.0,0.0,0.0,2.0,0.0,17.0,2.0,0.0,0.0,0.0,5.7,86.6,9.4,1.5,0.0,0.0,36.0
140000104,Ismail Naurdiev,24.0,Ismail,Naurdiev,The Austrian Wonderboy,Welterweight,1996-08-18,70.0,170.0,74.0,19.0,4.0,0.0,0.0,17.0,0.0,12.0,2.0,0.0,0.0,0.0,7.6,81.7,3.0,0.6,0.0,0.0,13.4
140000105,Damir Hadzovic,35.0,Damir,Hadzovic,The Bosnian Bomber,Lightweight,1986-08-08,69.0,155.0,70.0,14.0,6.0,0.0,0.0,11.0,2.0,7.0,2.0,0.0,0.0,0.0,9.3,81.6,2.2,0.4,15.4,15.4,15.4
140000106,Polo Reyes,36.0,Polo,Reyes,El Toro,Lightweight,1984-11-07,71.0,145.0,71.0,8.0,8.0,0.0,0.0,14.0,14.0,2.0,5.0,0.0,0.0,0.0,14.3,57.6,0.0,0.0,29.0,29.0,14.9
140000110,Daniel Teymur,33.0,Daniel,Teymur,Kid Dynamite,Featherweight,1988-02-03,65.0,145.0,69.0,7.0,4.0,0.0,0.0,7.0,2.0,7.0,5.0,0.0,0.0,0.0,7.3,72.2,1.3,0.7,0.0,0.0,14.0
140000111,Carlo Pedersoli,28.0,Carlo,Pedersoli,Semento,Welterweight,1993-06-08,71.0,170.0,75.0,11.0,3.0,0.0,0.0,7.0,5.0,10.0,0.0,0.0,0.0,0.0,9.9,58.2,6.9,0.0,0.0,0.0,11.0
140000112,Dwight Grant,36.0,Dwight,Grant,The Body Snatcher,Welterweight,1984-09-14,73.0,170.0,76.0,11.0,3.0,0.0,0.0,11.0,2.0,0.0,0.0,0.0,0.0,0.0,8.0,57.8,1.2,0.0,22.1,22.1,22.1
140000114,Klidson Abreu,28.0,Klidson,Abreu,White Bear,Light Heavyweight,1992-12-24,74.0,258.0,75.0,15.0,5.0,0.0,1.0,10.0,7.0,15.0,0.0,0.0,0.0,0.0,4.9,62.8,1.5,0.0,0.0,0.0,11.9
140000115,John Dodson,36.0,John,Dodson,The Magician,Bantamweight,1984-09-26,63.0,135.0,66.0,22.0,12.0,0.0,0.0,17.0,0.0,5.0,0.0,2.0,5.0,0.0,7.6,68.3,1.7,0.0,22.7,22.7,18.2
140000116,Petr Yan,28.0,Petr,Yan,No Mercy,Bantamweight,1993-02-11,67.0,135.0,67.0,15.0,2.0,0.0,0.0,11.0,0.0,2.0,0.0,2.0,2.0,0.0,14.3,87.6,5.1,0.3,36.3,36.3,27.3
140000120,Michal Oleksiejczuk,26.0,Michal,Oleksiejczuk,Lord,Light Heavyweight,1995-02-22,72.0,206.0,74.0,15.0,4.0,0.0,1.0,15.0,2.0,2.0,7.0,0.0,0.0,0.0,10.6,91.2,1.6,0.0,15.4,15.4,11.9
140000121,Stefan Struve,33.0,Stefan,Struve,Skyscraper,Heavyweight,1988-02-18,83.0,265.0,84.5,33.0,13.0,0.0,0.0,12.0,14.0,28.0,2.0,0.0,0.0,0.0,7.4,73.3,1.3,4.0,16.8,16.8,10.4
140000122,Marcos Rogerio de Lima,36.0,Marcos Rogerio,de Lima,Pezao,Heavyweight,1985-06-25,73.0,264.0,75.0,18.0,7.0,1.0,0.0,19.0,2.0,7.0,12.0,0.0,0.0,0.0,7.7,103.8,2.7,1.4,22.9,22.9,11.4
140000124,Thiago Santos,37.0,Thiago,Santos,Marreta,Light Heavyweight,1984-01-07,74.0,206.0,76.0,21.0,9.0,0.0,0.0,23.0,7.0,2.0,7.0,0.0,2.0,0.0,10.2,82.9,1.7,0.2,56.6,56.6,10.3
140000129,Charles Byrd,37.0,Charles,Byrd,Kid Dynamite,Middleweight,1983-10-11,70.0,185.0,73.0,10.0,7.0,0.0,0.0,7.0,7.0,12.0,5.0,0.0,0.0,0.0,8.2,86.0,6.0,3.6,0.0,0.0,0.0
140000130,Edmen Shahbazyan,23.0,Edmen,Shahbazyan,The Golden Boy,Middleweight,1997-11-20,74.0,185.0,74.0,11.0,2.0,0.0,0.0,14.0,2.0,2.0,0.0,0.0,0.0,0.0,8.2,78.1,7.1,1.6,35.6,35.6,11.9
140000131,Diego Sanchez,39.0,Diego,Sanchez,Nightmare,Welterweight,1981-12-31,70.0,170.0,72.0,31.0,13.0,0.0,0.0,15.0,10.0,14.0,0.0,2.0,2.0,0.0,6.4,69.5,3.6,2.0,21.1,21.1,45.6
140000133,Alejandro Perez,31.0,Alejandro,Perez,Turbo,Bantamweight,1989-09-02,66.0,135.0,67.0,22.0,8.0,1.0,0.0,15.0,5.0,12.0,7.0,2.0,0.0,0.0,8.4,65.8,1.2,0.3,14.9,14.9,19.9
140000134,Cody Stamann,31.0,Cody,Stamann,The Spartan,Bantamweight,1989-11-09,66.0,135.0,64.0,19.0,4.0,1.0,0.0,14.0,0.0,5.0,2.0,0.0,0.0,0.0,9.6,85.4,6.7,0.0,0.0,0.0,32.2
140000136,Jeremy Stephens,35.0,Jeremy,Stephens,Lil' Heathen,Featherweight,1986-05-25,69.0,156.0,71.0,28.0,19.0,0.0,1.0,29.0,7.0,5.0,10.0,0.0,0.0,0.0,7.6,74.7,2.8,0.9,22.5,22.5,22.5
140000138,Pedro Munhoz,34.0,Pedro,Munhoz,The Young Punisher,Bantamweight,1986-09-07,66.0,135.0,65.0,19.0,6.0,0.0,1.0,12.0,0.0,12.0,0.0,5.0,0.0,0.0,13.2,70.3,1.5,1.7,17.8,17.8,17.8
140000139,Cody Garbrandt,30.0,Cody,Garbrandt,No Love,Bantamweight,1991-07-07,68.0,136.0,65.0,12.0,4.0,0.0,0.0,15.0,7.0,0.0,0.0,2.0,5.0,0.0,7.6,61.8,2.5,0.0,48.2,48.2,19.3
140000142,Robbie Lawler,39.0,Robbie,Lawler,Ruthless,Welterweight,1982-03-20,71.0,171.0,74.0,28.0,15.0,0.0,0.0,31.0,5.0,2.0,14.0,10.0,10.0,0.0,8.3,78.4,1.6,0.0,42.1,42.1,24.6
140000143,Ben Askren,37.0,Ben,Askren,Funky,Welterweight,1984-07-18,71.0,170.0,73.0,19.0,2.0,0.0,1.0,14.0,2.0,14.0,2.0,15.0,0.0,2.0,8.7,76.0,10.3,2.1,0.0,0.0,0.0
140000144,Tyron Woodley,39.0,Tyron,Woodley,The Chosen One,Welterweight,1982-04-07,69.0,171.0,74.0,19.0,7.0,1.0,0.0,11.0,5.0,12.0,2.0,10.0,5.0,2.0,5.6,94.8,2.5,0.9,34.3,34.3,40.0
140000145,Kamaru Usman,34.0,Kamaru,Usman,Nigerian Nightmare,Welterweight,1987-05-11,72.0,170.0,76.0,19.0,1.0,0.0,0.0,14.0,0.0,2.0,2.0,14.0,0.0,0.0,11.0,102.7,7.8,0.3,30.9,30.9,69.5
140000146,Jon Jones,34.0,Jon,Jones,Bones,Light Heavyweight,1987-07-19,76.0,205.0,84.5,26.0,1.0,0.0,1.0,15.0,0.0,14.0,0.0,22.0,0.0,2.0,10.3,89.4,4.4,1.0,27.6,27.6,55.1
140000147,Anthony Smith,33.0,Anthony,Smith,Lionheart,Light Heavyweight,1988-07-26,76.0,206.0,76.0,35.0,16.0,0.0,0.0,29.0,14.0,20.0,10.0,5.0,2.0,0.0,7.2,78.2,1.1,1.7,18.2,18.2,4.7
140000148,Alex White,32.0,Alex,White,The Spartan,Lightweight,1988-10-22,72.0,155.0,71.0,13.0,6.0,0.0,0.0,12.0,2.0,12.0,2.0,0.0,0.0,0.0,9.0,64.9,2.2,1.2,16.3,16.3,16.3
140000149,Dan Moret,34.0,Dan,Moret,The Hitman,Lightweight,1986-11-21,72.0,155.0,73.0,14.0,6.0,0.0,0.0,2.0,5.0,12.0,0.0,0.0,2.0,0.0,6.4,67.7,3.0,1.0,0.0,0.0,0.0
140000150,Alex Morono,30.0,Alex,Morono,The Great White,Welterweight,1990-08-16,71.0,170.0,72.0,19.0,7.0,0.0,1.0,14.0,5.0,14.0,0.0,2.0,0.0,0.0,12.0,72.5,1.0,1.0,11.4,11.4,28.6
140000151,Zak Ottow,34.0,Zak,Ottow,The Barbarian,Welterweight,1986-12-22,71.0,170.0,72.0,17.0,7.0,0.0,0.0,7.0,10.0,15.0,2.0,0.0,0.0,0.0,6.3,56.9,2.3,0.9,9.9,9.9,19.3
140000152,Matt Schnell,31.0,Matt,Schnell,Danger,Flyweight,1990-01-15,68.0,136.0,70.0,15.0,6.0,0.0,0.0,5.0,7.0,12.0,2.0,2.0,0.0,0.0,10.1,68.6,0.9,2.3,0.0,0.0,22.1
140000153,Louis Smolka,30.0,Louis,Smolka,Da Last Samurai,Bantamweight,1991-07-16,69.0,135.0,68.0,17.0,7.0,0.0,0.0,12.0,0.0,11.0,7.0,0.0,0.0,0.0,10.6,79.4,4.4,4.6,25.7,25.7,12.9
140000154,Maurice Greene,35.0,Maurice,Greene,The Crochet Boss,Heavyweight,1986-07-05,79.0,237.0,80.0,9.0,7.0,0.0,0.0,5.0,5.0,12.0,5.0,0.0,2.0,0.0,7.8,80.9,0.0,1.0,14.9,14.9,14.9
140000155,Jeff Hughes,33.0,Jeff,Hughes,Lights Out,Heavyweight,1988-05-17,74.0,258.0,77.0,10.0,4.0,0.0,1.0,10.0,2.0,2.0,2.0,5.0,0.0,0.0,9.4,79.1,1.7,0.0,0.0,0.0,0.0
140000156,Grant Dawson,27.0,Grant,Dawson,KGD,Featherweight,1994-02-20,70.0,156.0,72.0,17.0,1.0,0.0,0.0,10.0,2.0,17.0,0.0,0.0,0.0,0.0,8.1,93.9,8.2,3.8,13.3,13.3,17.2
140000157,Julian Erosa,32.0,Julian,Erosa,Juicy J,Featherweight,1989-07-31,73.0,145.0,74.5,25.0,10.0,0.0,0.0,17.0,14.0,17.0,0.0,0.0,2.0,0.0,12.2,80.6,3.1,2.1,13.6,13.6,6.8
